PERMIT TYPE,PERMIT #,PROJECT NAME,WORK TYPE,ADDRESS,LOCATION,X_COORD,Y_COORD,DATE SUBMITTED,DATE ISSUED,DECLARED VALUATION,AREA (SF),PRIMARY CONTACT,CD,NCD,HD
Plumbing Gas Permit,MEP-GAS-PMT21-34221147,318 MISTLETOE,,"318 MISTLETOE, CITY OF SAN ANTONIO, TX 78212",,2128138.3,13712801.7,2021-06-30,2022-01-03,,,"RICARDO PENA, CARLOS PLUMBING",1,,Monte Vista
Plumbing Gas Permit,MEP-GAS-PMT22-34200004,Emergency gas release as per Inspector TM166,,"1204 MARCH AVE, CITY OF SAN ANTONIO, TX 78214",,2134420.4,13674211,2022-01-03,2022-01-03,,,FRANK'S PLUMBING,3,,Mission
Plumbing Gas Permit,MEP-GAS-PMT22-34200011,Plumbing Gas Permit,,"332 FRENCH PLACE, CITY OF SAN ANTONIO, TX 78212",,2131420,13711624.5,2022-01-03,2022-01-03,,,CARLOS AYALA,1,,
Plumbing Gas Permit,MEP-GAS-PMT22-34200016,Ernesto Lopez Plumbing,,"2623 WALTERS, CITY OF SAN ANTONIO, TX 78210",,,,2022-01-03,2022-01-03,,,ERNESTO LOPEZ,3,,
Plumbing Gas Permit,MEP-GAS-PMT22-34200024,Plumbing Gas Permit,,"1202 BURLESON ST, CITY OF SAN ANTONIO, TX 78202",,2139542.2,13705174,2022-01-03,2022-01-03,,,CAROLINA'S PLUMBING SERVICE,2,,
Plumbing Gas Permit,MEP-GAS-PMT22-34200029,Plumbing Gas Permit,,"1302 GENERAL MCMULLEN, CITY OF SAN ANTONIO, TX 78237",,2109716.1,13696526.2,2022-01-03,2022-01-03,,,TEXAS PIPEWRENCH SLINGERS,5,,
Plumbing Gas Permit,MEP-GAS-PMT22-34200035,Plumbing Gas Permit,,"122 19TH ST, CITY OF SAN ANTONIO, TX 78207",,2116214.2,13703467.4,2022-01-03,2022-01-03,,,IRENE JUAREZ COSTELLO,5,,
Plumbing Gas Permit,MEP-GAS-PMT22-34241407,Trades,,"19793 IH 10 W, CITY OF SAN ANTONIO, TX 78257",,2092007.8,13775291.9,2021-12-23,2022-01-03,,,ANTONIO VASQUEZ,8,,
Plumbing Gas Permit,MEP-GAS-PMT22-34241866,14530 COSTA LEON,,"14530 COSTA LEON, CITY OF SAN ANTONIO ETJ, TX 78245",,2036632.1,13693975.6,2021-12-31,2022-01-03,,,"GEORGE W CHRISTIANSON, CASA MECHANICAL SERVICES",0,,
Plumbing Irrigation Permit,MEP-IRR-PMT22-34400009,"LAWN IRRIGATION & 1 "" BACK FLOW",,"7107 BLUFF STRAND, CITY OF SAN ANTONIO, TX 78257",,2088360.4,13790912.3,2022-01-03,2022-01-03,,,"WILLIAM DAVID BEDFORD, S A RAINMAKER LLC",8,,
Plumbing Irrigation Permit,MEP-IRR-PMT22-34441564,12243 BUCKAROO RANCH,,"12243 BUCKAROO RANCH, CITY OF SAN ANTONIO ETJ, TX 78254",,,,2021-12-28,2022-01-03,,,LANDSCAPE OF TEXAS/SMITH&SONS,0,,
Plumbing Irrigation Permit,MEP-IRR-PMT22-34441564,12243 BUCKAROO RANCH,,"12243 BUCKAROO RANCH, CITY OF SAN ANTONIO ETJ, TX 78254",,,,2021-12-28,2022-01-03,,,LANDSCAPE OF TEXAS/SMITH&SONS,6,,
Mechanical Permit,MEP-MEC-PMT22-33900025,Mechanical,,"101 OMAHA ST, CITY OF SAN ANTONIO, TX 78203",,2135760.8,13700394,2022-01-03,2022-01-03,,,BLUEBONNET AIR CONDITION,2,,
Mechanical Permit,MEP-MEC-PMT22-33900033,Mechanical,,"4530 WALZEM RD, CITY OF SAN ANTONIO, TX 78218",,2158510.4,13733484.6,2022-01-03,2022-01-03,,,MY FAVORITE SERVICE COMPANY,2,,
Mechanical Permit,MEP-MEC-PMT22-33900034,Mechanical,,"455 LAURELWOOD DR, CITY OF SAN ANTONIO, TX 78213",,2121586.6,13725931.4,2022-01-03,2022-01-03,,,TEMPFORCE ELECTRIC AND HVAC,1,,
Mechanical Permit,MEP-MEC-PMT22-33941636,Replace Wall Furnace,,"943 WOODLAWN AVE, CITY OF SAN ANTONIO, TX 78201",,2124552.4,13712636.5,2021-12-28,2022-01-03,,,DONALD RACKLER,1,NCD-5 Beacon Hill Area,
Mechanical Permit,MEP-MEC-PMT22-33941644,Sergio Hernandez,,"444 BEVERLY DR, CITY OF SAN ANTONIO, TX 78228",,2112037.1,13714991,2021-12-28,2022-01-03,,,SERGIO J HERNANDEZ,7,NCD-7 Jefferson,
Mechanical Permit,MEP-MEC-PMT22-33941833,Luis Miranda,,"1806 THREE FORKS, CITY OF SAN ANTONIO ETJ, TX 78258",,2138943.3,13788077.7,2021-12-30,2022-01-03,,,KEITH SCHMIDT,0,,
Mechanical Permit,MEP-MEC-PMT22-33941838,AC,,"626 DEELY PLACE, CITY OF SAN ANTONIO, TX 78221",,2130692.6,13670723.5,2021-12-30,2022-01-03,,,"RICHARD W HOFFART, AMERICAN RESIDENTIAL SERVICES",3,,
Plumbing General Permit,MEP-PLM-PMT21-34317770,TIFFANY HOUSE,,"15830 CASA MEDRONA, CITY OF SAN ANTONIO, TX 78247",,2147872.8,13760893.5,2021-06-02,2022-01-03,,,"GREGORY SMITH, E. L. SMITH PLUMBING, INC",10,,
Plumbing General Permit,MEP-PLM-PMT22-34300014,Walters,,"2623 WALTERS, CITY OF SAN ANTONIO, TX 78210",,,,2022-01-03,2022-01-03,,,"ERNESTO L LOPEZ, ERNESTO LOPEZ",3,,
Plumbing General Permit,MEP-PLM-PMT22-34300015,Plumbing General Permit,,"10423 LION MOON, CITY OF SAN ANTONIO, TX 78251",,2065114.7,13709391.6,2022-01-03,2022-01-03,,,SAUL CARDENAS,4,,
Plumbing General Permit,MEP-PLM-PMT22-34300020,Plumbing General Permit,,"3015 SWANDALE, CITY OF SAN ANTONIO, TX 78230",,2113746.6,13739754.6,2022-01-03,2022-01-03,,,AAA AFFORDABLE PLUMBING AND AI,9,,
Plumbing General Permit,MEP-PLM-PMT22-34300022,Plumbing General Permit,,"7838 DASHWOOD, CITY OF SAN ANTONIO, TX 78240",,2093138.4,13732181.7,2022-01-03,2022-01-03,,,FARCO MECHANICAL,7,,
Plumbing General Permit,MEP-PLM-PMT22-34300023,Plumbing General Permit,,"1202 BURLESON ST, CITY OF SAN ANTONIO, TX 78202",,2139542.2,13705174,2022-01-03,2022-01-03,,,CAROLINA'S PLUMBING SERVICE,2,,
Plumbing General Permit,MEP-PLM-PMT22-34300027,Plumbing General Permit,,"15262 MOONLIT GROVE, CITY OF SAN ANTONIO, TX 78247",,2148483.9,13758958.3,2022-01-03,2022-01-03,,,TEXAS PIPEWRENCH SLINGERS,10,,
Plumbing General Permit,MEP-PLM-PMT22-34300028,General Plumbing,,"1302 GENERAL MCMULLEN, CITY OF SAN ANTONIO, TX 78237",,2109716.1,13696526.2,2022-01-03,2022-01-03,,,JAIME RODRIGUEZ,5,,
Plumbing General Permit,MEP-PLM-PMT22-34341781,General plumbing,,"3255 ASHBY PLACE, CITY OF SAN ANTONIO, TX 78228",,2112319.5,13712567.9,2021-12-29,2022-01-03,,,"ALEJANDRO TREJO, ADY'S PLUMBING",7,NCD-8 Woodlawn Lake,
Plumbing General Permit,MEP-PLM-PMT22-34341815,3309,,"3309 SAN PEDRO AVE, CITY OF SAN ANTONIO, TX 78212",,2127759.4,13717281.9,2021-12-30,2022-01-03,,,PHARAOH PLUMBING,1,NCD-2 Alta Vista,
Plumbing General Permit,MEP-PLM-PMT22-34341860,General Plumbing,,"351 CARNAHAN ST, CITY OF SAN ANTONIO, TX 78209",,2139927.3,13716056,2021-12-31,2022-01-03,,,NEUDEL VEGA,2,NCD-6 Mahncke Park,
Electrical Reconnect Permit,MEP-REC-PMT22-33400018,Electrical Reconnect Permit,,"3800 PARKDALE, CITY OF SAN ANTONIO, TX 78229",,2108487.7,13738854.9,2022-01-03,2022-01-03,,,JOHNNY RIVERA,8,,
Plumbing Sewer Permit,MEP-SEW-PMT22-34800021,Plumbing Sewer Permit,,"359 OBREGON, CITY OF SAN ANTONIO, TX 78207",,2118919.1,13694623.7,2022-01-03,2022-01-03,,,AAA AFFORDABLE PLUMBING AND AI,5,,
Solar - Photovoltaic Permit,MEP-SOL-PMT22-34936101,Graeser-135 Katy Way,,"135 KATY WAY, CITY OF SAN ANTONIO, TX 78220",,2169906.3,13702298.3,2021-11-03,2022-01-03,,,JOEL D JOHNSON,2,,
Solar - Photovoltaic Permit,MEP-SOL-PMT22-34936122,JULIAN MARTINEZ,,"627 EDGEBROOK, CITY OF SAN ANTONIO, TX 78213",,2120881.5,13727148.9,2021-11-03,2022-01-03,,,"DAVID F RUBAL, COMMERCIAL TRADE SERVICES",1,,
Solar - Photovoltaic Permit,MEP-SOL-PMT22-34937952,Incredible Pizza,,"2015 410, CITY OF SAN ANTONIO, TX 78227",,2079438.7,13697367.9,2021-11-19,2022-01-03,,,"ADRIAN BUCK, FREEDOM SOLAR POWER",4,,
Solar - Photovoltaic Permit,MEP-SOL-PMT22-34937960,Loop 1604 Storage,,"2310 1604 W, CITY OF SAN ANTONIO, TX 78248",,2118588.8,13768025.3,2021-11-19,2022-01-03,,,"ADRIAN BUCK, FREEDOM SOLAR POWER",9,,
Solar - Photovoltaic Permit,MEP-SOL-PMT22-34938460,Sonovus Energy LLC,,"5926 CASTLE HUNT DR, CITY OF SAN ANTONIO, TX 78218",,2168677.6,13724700.1,2021-11-24,2022-01-03,,,JIMMY FRIAS,2,,
Solar - Photovoltaic Permit,MEP-SOL-PMT22-34940877,"AGUIRRE, SYLVIA PH2",,"8906 SILENT WIND, CITY OF SAN ANTONIO, TX 78250",,2076920.2,13731620.7,2021-12-17,2022-01-03,,,"ADVANCED SOLAR & ELECTRIC,LLC",7,,
Electrical TML Permit,MEP-TML-PMT22-44000010,1747 W Pyron,,"1747 PYRON AVE, CITY OF SAN ANTONIO, TX 78211",,2116311.2,13679963.9,2022-01-03,2022-01-03,,,RAUL FLORES,5,,
Electrical TML Permit,MEP-TML-PMT22-44040301,TML,,"10410 MCCLINTOCK DR, CITY OF SAN ANTONIO, TX 78109",,2197700.7,13714493,2021-12-14,2022-01-03,,,WILLIAM B CRIST,2,,
Foundation Repair Permit,REP-FND-PMT22-35100002,451 RAMPART,,"451 RAMPART, CITY OF SAN ANTONIO, TX 78216",,2132614.6,13734843.1,2021-12-30,2022-01-03,,,"SHAWN C LAWSON, PERMA PIER FND REPAIR OF TX",1,,
Foundation Repair Permit,REP-FND-PMT22-35100003,,,"1135 FULTON AVE, CITY OF SAN ANTONIO, TX 78201",,2123368.8,13715775,2021-12-10,2022-01-03,,,"ENRIQUE R VAZQUEZ, WORLD",1,NCD-5 Beacon Hill Area,
Foundation Repair Permit,REP-FND-PMT22-35100004,Norma Rosales,,"7206 LEAFWOOD DR, CITY OF SAN ANTONIO, TX 78227",,2084311.8,13700226.4,2022-01-03,2022-01-03,,,PEDRO GUZMAN,6,,
Foundation Repair Permit,REP-FND-PMT22-35100005,1818 FRENCH PLACE,,"1818 FRENCH PLACE, CITY OF SAN ANTONIO, TX 78201",,2119665.1,13711975,2021-12-23,2022-01-03,,,"JESUS J CUELLAR, CJ HOUSE LEVELING",7,NCD-8 Woodlawn Lake,
Foundation Repair Permit,REP-FND-PMT22-35100006,211 SHERIDAN,,"211 SHERIDAN, CITY OF SAN ANTONIO, TX 78204",,2128623.9,13699019.2,2021-12-27,2022-01-03,,,"PEDRO FLORES, PETE FLORES",1,,
Foundation Repair Permit,REP-FND-PMT22-35100007,,,"805 THEO AVE, CITY OF SAN ANTONIO, TX 78210",,2129739.3,13690188.3,2022-01-03,2022-01-03,,,RAFAEL HINOJOSA,3,,Mission
Re-Roof Permit,REP-ROF-PMT22-35200001,,,"442 MC DOUGAL AVE, CITY OF SAN ANTONIO, TX 78223",,2144861.6,13686505.7,2022-01-03,2022-01-03,,,"JESUS A DELAROSA, RENO CREW",3,,
Re-Roof Permit,REP-ROF-PMT22-35200002,313 LAVACA,,"313 LAVACA ST, CITY OF SAN ANTONIO, TX 78210",,2132479.4,13699029.1,2021-12-15,2022-01-03,,,MARIA ELENA HERNANDEZ,1,,Lavaca
Re-Roof Permit,REP-ROF-PMT22-35200003,RE-ROOF 3122 MISSLLE,,"3122 MISSILE, CITY OF SAN ANTONIO, TX 78217",,2147245.3,13741253.6,2021-12-01,2022-01-03,,,SHAWN MCMANUS,10,,
Re-Roof Permit,REP-ROF-PMT22-35200004,1930 RAYBURN,,"1930 RAYBURN DR, CITY OF SAN ANTONIO, TX 78224",,2113801.9,13678016.1,2022-01-03,2022-01-03,,,,4,,
Re-Roof Permit,REP-ROF-PMT22-35200005,2026 ATHEL - RE-ROOF PERMIT,,"2026 ATHEL, CITY OF SAN ANTONIO, TX 78237",,2106264.5,13696251.2,2022-01-03,2022-01-03,,,STEVE HERNANDEZ,5,,
Residential Repair Permit,REP-RRP-PMT-22-35300001,,,"442 MC DOUGAL AVE, CITY OF SAN ANTONIO, TX 78223",,2144861.6,13686505.7,2022-01-03,2022-01-03,,,"JESUS A DELAROSA, RENO CREW",3,,
Residential Repair Permit,REP-RRP-PMT-22-35300002,GRACIELA VALLADARES,,"1144 KINGS HWY, CITY OF SAN ANTONIO, TX 78201",,2123246.3,13714883.2,2022-01-03,2022-01-03,,,GRACIELA VALLADARES,1,NCD-5 Beacon Hill Area,
Residential Repair Permit,REP-RRP-PMT-22-35300003,444 BEVERLY DR,,"444 BEVERLY DR, CITY OF SAN ANTONIO, TX 78228",,2112037.1,13714991,2022-01-03,2022-01-03,,,SELEDONIO FLORES MARTINEZ,7,NCD-7 Jefferson,
Residential Repair Permit,REP-RRP-PMT-22-35300004,646 GLADSTONE,,"646 GLADSTONE ST, CITY OF SAN ANTONIO, TX 78225",,2122126.2,13686747.9,2022-01-03,2022-01-03,,,"JOSE A NERI, NERI ROOFING",5,,
Residential Repair Permit,REP-RRP-PMT-22-35300005,8010 BRIARGATE DR,,"8010 BRIARGATE DR, CITY OF SAN ANTONIO, TX 78230",,2113505,13733703.6,2021-11-15,2022-01-03,,,SELEDONIO FLORES MARTINEZ,1,,
Residential Repair Permit,REP-RRP-PMT-22-35300006,Jared Abel,,"15222 PEBBLE DEN, CITY OF SAN ANTONIO, TX 78232",,2145488.8,13758915.5,2022-01-03,2022-01-03,,,"MATTHEW S MORENO, M2 CONTRACTING LLC",10,,
Residential Repair Permit,REP-RRP-PMT-22-35300006,Jared Abel,,"15222 PEBBLE DEN, CITY OF SAN ANTONIO, TX 78232",,2145488.8,13758915.5,2022-01-11,2022-01-03,,,"MATTHEW S MORENO, M2 CONTRACTING LLC",10,,
Residential Repair Permit,REP-RRP-PMT-22-35300007,8631 WHITE STAR,,"8631 WHITE STAR, CITY OF SAN ANTONIO, TX 78242",,2091421.9,13671964.1,2022-01-03,2022-01-03,,,,4,,
Residential Repair Permit,REP-RRP-PMT-22-35300008,,,"805 THEO AVE, CITY OF SAN ANTONIO, TX 78210",,2129739.3,13690188.3,2022-01-03,2022-01-03,,,RAFAEL HINOJOSA,3,,Mission
Home Addition Permit,RES-ADD-PMT22-32500005,1010 PASADENA,Existing,"1010 PASADENA, CITY OF SAN ANTONIO, TX 78201",,2124390,13718512.2,2022-01-03,2022-01-03,,,NO PRAC ENTERPRISES LLC,1,,
Home Addition Permit,RES-ADD-PMT22-32500007,109 EASTHAM --,Existing,"109 EASTHAM, CITY OF SAN ANTONIO, TX 78210",,2149804,13693108.1,2022-01-03,2022-01-03,,,LIDIA COPEN,2,,
Home Addition Permit,RES-ADD-PMT22-32502431,3122 MISSILE,Existing,"3122 MISSILE, CITY OF SAN ANTONIO, TX 78217",,2147245.3,13741253.6,2021-12-01,2022-01-03,,,SHAWN MCMANUS CONSTRUCTION,10,,
Home Addition Permit,RES-ADD-PMT22-32502434,164 DAY RD,Existing,"164 DAY RD, CITY OF SAN ANTONIO, TX 78210",,2149772.4,13693552.8,2021-12-02,2022-01-03,,,BREANNE WEBER,2,,
